ADCODE99,Mus musculus,Rattus norvegicus
110101,1,1
110102,0,1
110105,0,1
110106,1,1
110107,0,1
110108,1,1
110109,1,1
110111,0,1
110112,1,1
110113,0,1
110114,1,1
110115,0,1
110116,1,1
110117,1,1
110228,1,1
110229,1,1
120101,1,1
120102,1,1
120103,1,1
120104,1,1
120105,1,1
120106,1,1
120110,1,1
120111,1,1
120112,1,1
120113,1,1
120114,1,1
120115,1,1
120116,1,1
120221,1,1
120223,1,1
120225,1,1
130102,1,1
130103,1,1
130104,1,1
130105,1,1
130107,1,1
130108,1,1
130121,1,1
130123,1,1
130124,1,1
130125,1,1
130126,1,1
130127,1,1
130128,1,1
130129,1,1
130130,1,1
130131,1,1
130132,1,1
130133,1,1
130181,1,1
130182,1,1
130183,1,1
130184,1,1
130185,1,1
130202,1,1
130203,1,1
130204,1,1
130205,1,1
130207,1,1
130208,1,1
130209,NA,NA
130223,1,1
130224,NA,NA
130225,1,1
130227,1,1
130229,1,1
130281,1,1
130283,1,1
130302,1,1
130303,1,1
130304,1,1
130321,1,1
130322,1,1
130323,1,1
130324,1,1
130402,1,1
130403,1,1
130404,1,1
130406,1,1
130421,1,1
130423,1,1
130424,1,1
130425,1,1
130426,1,1
130427,1,1
130428,1,1
130429,1,1
130430,1,1
130431,1,1
130432,1,1
130433,1,1
130434,1,1
130435,1,1
130481,1,1
130502,NA,NA
130503,NA,NA
130521,1,1
130522,1,1
130523,1,1
130524,1,1
130525,1,1
130526,1,1
130527,1,1
130528,1,1
130529,1,1
130530,1,1
130531,1,1
130532,1,1
130533,1,1
130534,1,1
130535,1,1
130581,1,1
130582,1,1
130602,1,1
130603,1,1
130604,1,1
130621,1,1
130622,1,1
130623,1,1
130624,1,1
130625,1,1
130626,1,1
130627,1,1
130628,1,1
130629,1,1
130630,1,1
130631,1,1
130632,1,1
130633,1,1
130634,1,1
130635,1,1
130636,1,1
130637,1,1
130638,1,1
130681,1,1
130682,1,1
130683,1,1
130684,1,1
130702,NA,NA
130703,NA,NA
130705,1,1
130706,1,1
130721,1,1
130722,1,1
130723,1,1
130724,1,1
130725,1,1
130726,1,1
130727,1,1
130728,1,1
130729,1,1
130730,1,1
130731,1,1
130732,1,1
130733,1,1
130802,1,1
130803,1,1
130804,1,1
130821,1,1
130822,1,1
130823,1,1
130824,1,1
130825,1,1
130826,1,1
130827,1,1
130828,1,1
130902,NA,NA
130903,1,1
130921,1,1
130922,1,1
130923,1,1
130924,1,1
130925,1,1
130926,1,1
130927,1,1
130928,1,1
130929,1,1
130930,1,1
130981,1,1
130982,1,1
130983,1,1
130984,1,1
131002,1,1
131003,1,1
131022,1,1
131023,1,1
131024,1,1
131025,1,1
131026,1,1
131028,1,1
131081,1,1
131082,1,1
131102,1,1
131121,1,1
131122,1,1
131123,1,1
131124,1,1
131125,1,1
131126,1,1
131127,1,1
131128,1,1
131181,1,1
131182,1,1
140105,NA,NA
140106,NA,NA
140107,NA,NA
140108,NA,NA
140109,NA,NA
140110,NA,NA
140121,NA,NA
140122,NA,NA
140123,0,0
140181,NA,NA
140202,NA,NA
140203,NA,NA
140211,NA,NA
140212,NA,NA
140221,NA,NA
140222,NA,NA
140223,NA,NA
140224,0,0
140225,NA,NA
140226,NA,NA
140227,NA,NA
140302,NA,NA
140303,NA,NA
140311,1,1
140321,0,0
140322,0,0
140402,NA,NA
140411,NA,NA
140421,NA,NA
140423,NA,NA
140424,NA,NA
140425,0,0
140426,0,0
140427,0,0
140428,NA,NA
140429,NA,NA
140430,0,0
140431,0,0
140481,NA,NA
140502,NA,NA
140521,1,1
140522,1,1
140524,0,0
140525,NA,NA
140581,NA,NA
140602,NA,NA
140603,NA,NA
140621,NA,NA
140622,NA,NA
140623,NA,NA
140624,NA,NA
140702,0,0
140721,NA,NA
140722,NA,NA
140723,0,0
140724,0,0
140725,NA,NA
140726,NA,NA
140727,NA,NA
140728,NA,NA
140729,0,0
140781,0,0
140802,NA,NA
140821,NA,NA
140822,NA,NA
140823,0,0
140824,NA,NA
140825,NA,NA
140826,0,0
140827,1,1
140828,NA,NA
140829,NA,NA
140830,NA,NA
140881,NA,NA
140882,0,0
140902,NA,NA
140921,0,0
140922,1,1
140923,0,1
140924,1,1
140925,0,1
140926,NA,NA
140927,NA,NA
140928,0,1
140929,0,1
140930,NA,NA
140931,NA,NA
140932,NA,NA
140981,NA,NA
141002,NA,NA
141021,NA,NA
141022,1,1
141023,NA,NA
141024,NA,NA
141025,NA,NA
141026,NA,NA
141027,NA,NA
141028,0,0
141029,NA,NA
141030,NA,NA
141031,1,1
